--b249b97d2--2022-05-18--Seyed Alireza Damghani
3	0	ODIN_II/SRC/YYosys.cpp

--970d6f7b0--2022-05-13--Seyed Alireza Damghani
2	2	ODIN_II/SRC/YYosys.cpp

--a9ce736ac--2022-05-09--Seyed Alireza Damghani
--720c4e9e6--2022-05-06--alirezazd
11	26	ODIN_II/SRC/partial_map.cpp

--7caec7b39--2022-05-05--Seyed Alireza Damghani
1	1	ODIN_II/SRC/BLIFElaborate.cpp
1	1	ODIN_II/SRC/include/multipliers.h
11	4	ODIN_II/SRC/multipliers.cpp

--3d100b1c9--2022-04-28--Aman Arora
--97ae84761--2022-04-27--Your Name
2	3	ODIN_II/SRC/YYosys.cpp

--d09ba2c29--2022-04-14--Seyed Alireza Damghani
1	1	ODIN_II/SRC/BLIFElaborate.cpp
1	1	ODIN_II/SRC/include/multipliers.h
23	50	ODIN_II/SRC/multipliers.cpp

--4c73ee63b--2022-04-15--Your Name
7	2	ODIN_II/SRC/YYosys.cpp

--53ceccbb0--2022-03-13--sdamghan
10	2	ODIN_II/SRC/BLIFReader.cpp
1	1	ODIN_II/SRC/hard_blocks.cpp

--34f16e06a--2022-03-07--sdamghan
1	1	ODIN_II/SRC/YYosys.cpp

--519244871--2022-01-14--Seyed Alireza Damghani
14	11	ODIN_II/SRC/BLIFReader.cpp
1	0	ODIN_II/SRC/include/odin_util.h
31	0	ODIN_II/SRC/odin_util.cpp

--ff421ab84--2022-01-11--Seyed Alireza Damghani
1	1	ODIN_II/SRC/BLIFWriter.cpp
23	26	ODIN_II/SRC/VerilogWriter.cpp
7	10	ODIN_II/SRC/YYosys.cpp
0	2	ODIN_II/SRC/include/Verilog.hpp

--84b2683b4--2022-01-11--Seyed Alireza Damghani
1	1	ODIN_II/SRC/BLIFElaborate.cpp
12	7	ODIN_II/SRC/BLIFReader.cpp
4	1	ODIN_II/SRC/VerilogWriter.cpp

--f66128de7--2022-01-11--Seyed Alireza Damghani
2	2	ODIN_II/SRC/YYosys.cpp

--577c3c3a1--2022-01-11--Seyed Alireza Damghani
9	2	ODIN_II/SRC/BLIFWriter.cpp
1	1	ODIN_II/SRC/GenericIO.cpp
22	11	ODIN_II/SRC/GenericWriter.cpp
214	0	ODIN_II/SRC/VerilogWriter.cpp
39	3	ODIN_II/SRC/YYosys.cpp
2	1	ODIN_II/SRC/hard_blocks.cpp
1	1	ODIN_II/SRC/include/BLIF.hpp
1	1	ODIN_II/SRC/include/GenericIO.hpp
